Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
20080809_NIH_EWY_POS_003001	Extraction		none	20080809_NIH_EWY_POS_003001	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_003001	FILES/20080809_NIH_EWY_POS_003001.CDF	Data transformation	20080809_NIH_EWY_POS_003001	FILES/20080809_NIH_EWY_POS_0030.mzML	Metabolite identification	20080809_NIH_EWY_POS_003001	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_003101	Extraction		none	20080809_NIH_EWY_POS_003101	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_003101	FILES/20080809_NIH_EWY_POS_003101.CDF	Data transformation	20080809_NIH_EWY_POS_003101	FILES/20080809_NIH_EWY_POS_0031.mzML	Metabolite identification	20080809_NIH_EWY_POS_003101	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_003201	Extraction		none	20080809_NIH_EWY_POS_003201	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_003201	FILES/20080809_NIH_EWY_POS_003201.CDF	Data transformation	20080809_NIH_EWY_POS_003201	FILES/20080809_NIH_EWY_POS_0032.mzML	Metabolite identification	20080809_NIH_EWY_POS_003201	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_003501	Extraction		none	20080809_NIH_EWY_POS_003501	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_003501	FILES/20080809_NIH_EWY_POS_003501.CDF	Data transformation	20080809_NIH_EWY_POS_003501	FILES/20080809_NIH_EWY_POS_0035.mzML	Metabolite identification	20080809_NIH_EWY_POS_003501	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_003601	Extraction		none	20080809_NIH_EWY_POS_003601	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_003601	FILES/20080809_NIH_EWY_POS_003601.CDF	Data transformation	20080809_NIH_EWY_POS_003601	FILES/20080809_NIH_EWY_POS_0036.mzML	Metabolite identification	20080809_NIH_EWY_POS_003601	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_003701	Extraction		none	20080809_NIH_EWY_POS_003701	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_003701	FILES/20080809_NIH_EWY_POS_003701.CDF	Data transformation	20080809_NIH_EWY_POS_003701	FILES/20080809_NIH_EWY_POS_0037.mzML	Metabolite identification	20080809_NIH_EWY_POS_003701	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_003801	Extraction		none	20080809_NIH_EWY_POS_003801	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_003801	FILES/20080809_NIH_EWY_POS_003801.CDF	Data transformation	20080809_NIH_EWY_POS_003801	FILES/20080809_NIH_EWY_POS_0038.mzML	Metabolite identification	20080809_NIH_EWY_POS_003801	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_003901	Extraction		none	20080809_NIH_EWY_POS_003901	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_003901	FILES/20080809_NIH_EWY_POS_003901.CDF	Data transformation	20080809_NIH_EWY_POS_003901	FILES/20080809_NIH_EWY_POS_0039.mzML	Metabolite identification	20080809_NIH_EWY_POS_003901	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_004001	Extraction		none	20080809_NIH_EWY_POS_004001	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_004001	FILES/20080809_NIH_EWY_POS_004001.CDF	Data transformation	20080809_NIH_EWY_POS_004001	FILES/20080809_NIH_EWY_POS_0040.mzML	Metabolite identification	20080809_NIH_EWY_POS_004001	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_004201	Extraction		none	20080809_NIH_EWY_POS_004201	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_004201	FILES/20080809_NIH_EWY_POS_004201.CDF	Data transformation	20080809_NIH_EWY_POS_004201	FILES/20080809_NIH_EWY_POS_0042.mzML	Metabolite identification	20080809_NIH_EWY_POS_004201	m_MTBLS28_POS_v2_maf.tsv
