Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
20081009_NIH_EWY_NEG_026301	Extraction		none	20081009_NIH_EWY_NEG_026301	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_026301	FILES/20081009_NIH_EWY_NEG_026301.CDF	Data transformation	20081009_NIH_EWY_NEG_026301	FILES/20081009_NIH_EWY_NEG_0263.mzML	Metabolite identification	20081009_NIH_EWY_NEG_026301	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_026401	Extraction		none	20081009_NIH_EWY_NEG_026401	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_026401	FILES/20081009_NIH_EWY_NEG_026401.CDF	Data transformation	20081009_NIH_EWY_NEG_026401	FILES/20081009_NIH_EWY_NEG_0264.mzML	Metabolite identification	20081009_NIH_EWY_NEG_026401	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_026601	Extraction		none	20081009_NIH_EWY_NEG_026601	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_026601	FILES/20081009_NIH_EWY_NEG_026601.CDF	Data transformation	20081009_NIH_EWY_NEG_026601	FILES/20081009_NIH_EWY_NEG_0266.mzML	Metabolite identification	20081009_NIH_EWY_NEG_026601	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_026701	Extraction		none	20081009_NIH_EWY_NEG_026701	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_026701	FILES/20081009_NIH_EWY_NEG_026701.CDF	Data transformation	20081009_NIH_EWY_NEG_026701	FILES/20081009_NIH_EWY_NEG_0267.mzML	Metabolite identification	20081009_NIH_EWY_NEG_026701	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_026801	Extraction		none	20081009_NIH_EWY_NEG_026801	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_026801	FILES/20081009_NIH_EWY_NEG_026801.CDF	Data transformation	20081009_NIH_EWY_NEG_026801	FILES/20081009_NIH_EWY_NEG_0268.mzML	Metabolite identification	20081009_NIH_EWY_NEG_026801	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_026901	Extraction		none	20081009_NIH_EWY_NEG_026901	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_026901	FILES/20081009_NIH_EWY_NEG_026901.CDF	Data transformation	20081009_NIH_EWY_NEG_026901	FILES/20081009_NIH_EWY_NEG_0269.mzML	Metabolite identification	20081009_NIH_EWY_NEG_026901	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_027101	Extraction		none	20081009_NIH_EWY_NEG_027101	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_027101	FILES/20081009_NIH_EWY_NEG_027101.CDF	Data transformation	20081009_NIH_EWY_NEG_027101	FILES/20081009_NIH_EWY_NEG_0271.mzML	Metabolite identification	20081009_NIH_EWY_NEG_027101	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_027201	Extraction		none	20081009_NIH_EWY_NEG_027201	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_027201	FILES/20081009_NIH_EWY_NEG_027201.CDF	Data transformation	20081009_NIH_EWY_NEG_027201	FILES/20081009_NIH_EWY_NEG_0272.mzML	Metabolite identification	20081009_NIH_EWY_NEG_027201	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_027301	Extraction		none	20081009_NIH_EWY_NEG_027301	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_027301	FILES/20081009_NIH_EWY_NEG_027301.CDF	Data transformation	20081009_NIH_EWY_NEG_027301	FILES/20081009_NIH_EWY_NEG_0273.mzML	Metabolite identification	20081009_NIH_EWY_NEG_027301	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_027401	Extraction		none	20081009_NIH_EWY_NEG_027401	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_027401	FILES/20081009_NIH_EWY_NEG_027401.CDF	Data transformation	20081009_NIH_EWY_NEG_027401	FILES/20081009_NIH_EWY_NEG_0274.mzML	Metabolite identification	20081009_NIH_EWY_NEG_027401	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_027501	Extraction		none	20081009_NIH_EWY_NEG_027501	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_027501	FILES/20081009_NIH_EWY_NEG_027501.CDF	Data transformation	20081009_NIH_EWY_NEG_027501	FILES/20081009_NIH_EWY_NEG_0275.mzML	Metabolite identification	20081009_NIH_EWY_NEG_027501	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_027601	Extraction		none	20081009_NIH_EWY_NEG_027601	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_027601	FILES/20081009_NIH_EWY_NEG_027601.CDF	Data transformation	20081009_NIH_EWY_NEG_027601	FILES/20081009_NIH_EWY_NEG_0276.mzML	Metabolite identification	20081009_NIH_EWY_NEG_027601	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_027701	Extraction		none	20081009_NIH_EWY_NEG_027701	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_027701	FILES/20081009_NIH_EWY_NEG_027701.CDF	Data transformation	20081009_NIH_EWY_NEG_027701	FILES/20081009_NIH_EWY_NEG_0277.mzML	Metabolite identification	20081009_NIH_EWY_NEG_027701	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_027801	Extraction		none	20081009_NIH_EWY_NEG_027801	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_027801	FILES/20081009_NIH_EWY_NEG_027801.CDF	Data transformation	20081009_NIH_EWY_NEG_027801	FILES/20081009_NIH_EWY_NEG_0278.mzML	Metabolite identification	20081009_NIH_EWY_NEG_027801	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_027901	Extraction		none	20081009_NIH_EWY_NEG_027901	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_027901	FILES/20081009_NIH_EWY_NEG_027901.CDF	Data transformation	20081009_NIH_EWY_NEG_027901	FILES/20081009_NIH_EWY_NEG_0279.mzML	Metabolite identification	20081009_NIH_EWY_NEG_027901	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_028001	Extraction		none	20081009_NIH_EWY_NEG_028001	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_028001	FILES/20081009_NIH_EWY_NEG_028001.CDF	Data transformation	20081009_NIH_EWY_NEG_028001	FILES/20081009_NIH_EWY_NEG_0280.mzML	Metabolite identification	20081009_NIH_EWY_NEG_028001	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_028101	Extraction		none	20081009_NIH_EWY_NEG_028101	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_028101	FILES/20081009_NIH_EWY_NEG_028101.CDF	Data transformation	20081009_NIH_EWY_NEG_028101	FILES/20081009_NIH_EWY_NEG_0281.mzML	Metabolite identification	20081009_NIH_EWY_NEG_028101	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_028201	Extraction		none	20081009_NIH_EWY_NEG_028201	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_028201	FILES/20081009_NIH_EWY_NEG_028201.CDF	Data transformation	20081009_NIH_EWY_NEG_028201	FILES/20081009_NIH_EWY_NEG_0282.mzML	Metabolite identification	20081009_NIH_EWY_NEG_028201	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_028301	Extraction		none	20081009_NIH_EWY_NEG_028301	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_028301	FILES/20081009_NIH_EWY_NEG_028301.CDF	Data transformation	20081009_NIH_EWY_NEG_028301	FILES/20081009_NIH_EWY_NEG_0283.mzML	Metabolite identification	20081009_NIH_EWY_NEG_028301	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_028401	Extraction		none	20081009_NIH_EWY_NEG_028401	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_028401	FILES/20081009_NIH_EWY_NEG_028401.CDF	Data transformation	20081009_NIH_EWY_NEG_028401	FILES/20081009_NIH_EWY_NEG_0284.mzML	Metabolite identification	20081009_NIH_EWY_NEG_028401	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_028501	Extraction		none	20081009_NIH_EWY_NEG_028501	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_028501	FILES/20081009_NIH_EWY_NEG_028501.CDF	Data transformation	20081009_NIH_EWY_NEG_028501	FILES/20081009_NIH_EWY_NEG_0285.mzML	Metabolite identification	20081009_NIH_EWY_NEG_028501	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_028701	Extraction		none	20081009_NIH_EWY_NEG_028701	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_028701	FILES/20081009_NIH_EWY_NEG_028701.CDF	Data transformation	20081009_NIH_EWY_NEG_028701	FILES/20081009_NIH_EWY_NEG_0287.mzML	Metabolite identification	20081009_NIH_EWY_NEG_028701	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_028801	Extraction		none	20081009_NIH_EWY_NEG_028801	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_028801	FILES/20081009_NIH_EWY_NEG_028801.CDF	Data transformation	20081009_NIH_EWY_NEG_028801	FILES/20081009_NIH_EWY_NEG_0288.mzML	Metabolite identification	20081009_NIH_EWY_NEG_028801	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_029001	Extraction		none	20081009_NIH_EWY_NEG_029001	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_029001	FILES/20081009_NIH_EWY_NEG_029001.CDF	Data transformation	20081009_NIH_EWY_NEG_029001	FILES/20081009_NIH_EWY_NEG_0290.mzML	Metabolite identification	20081009_NIH_EWY_NEG_029001	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_029101	Extraction		none	20081009_NIH_EWY_NEG_029101	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_029101	FILES/20081009_NIH_EWY_NEG_029101.CDF	Data transformation	20081009_NIH_EWY_NEG_029101	FILES/20081009_NIH_EWY_NEG_0291.mzML	Metabolite identification	20081009_NIH_EWY_NEG_029101	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_029201	Extraction		none	20081009_NIH_EWY_NEG_029201	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_029201	FILES/20081009_NIH_EWY_NEG_029201.CDF	Data transformation	20081009_NIH_EWY_NEG_029201	FILES/20081009_NIH_EWY_NEG_0292.mzML	Metabolite identification	20081009_NIH_EWY_NEG_029201	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_029301	Extraction		none	20081009_NIH_EWY_NEG_029301	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_029301	FILES/20081009_NIH_EWY_NEG_029301.CDF	Data transformation	20081009_NIH_EWY_NEG_029301	FILES/20081009_NIH_EWY_NEG_0293.mzML	Metabolite identification	20081009_NIH_EWY_NEG_029301	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_029401	Extraction		none	20081009_NIH_EWY_NEG_029401	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_029401	FILES/20081009_NIH_EWY_NEG_029401.CDF	Data transformation	20081009_NIH_EWY_NEG_029401	FILES/20081009_NIH_EWY_NEG_0294.mzML	Metabolite identification	20081009_NIH_EWY_NEG_029401	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_029501	Extraction		none	20081009_NIH_EWY_NEG_029501	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_029501	FILES/20081009_NIH_EWY_NEG_029501.CDF	Data transformation	20081009_NIH_EWY_NEG_029501	FILES/20081009_NIH_EWY_NEG_0295.mzML	Metabolite identification	20081009_NIH_EWY_NEG_029501	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_029601	Extraction		none	20081009_NIH_EWY_NEG_029601	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_029601	FILES/20081009_NIH_EWY_NEG_029601.CDF	Data transformation	20081009_NIH_EWY_NEG_029601	FILES/20081009_NIH_EWY_NEG_0296.mzML	Metabolite identification	20081009_NIH_EWY_NEG_029601	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_029701	Extraction		none	20081009_NIH_EWY_NEG_029701	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_029701	FILES/20081009_NIH_EWY_NEG_029701.CDF	Data transformation	20081009_NIH_EWY_NEG_029701	FILES/20081009_NIH_EWY_NEG_0297.mzML	Metabolite identification	20081009_NIH_EWY_NEG_029701	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_029801	Extraction		none	20081009_NIH_EWY_NEG_029801	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_029801	FILES/20081009_NIH_EWY_NEG_029801.CDF	Data transformation	20081009_NIH_EWY_NEG_029801	FILES/20081009_NIH_EWY_NEG_0298.mzML	Metabolite identification	20081009_NIH_EWY_NEG_029801	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_029901	Extraction		none	20081009_NIH_EWY_NEG_029901	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_029901	FILES/20081009_NIH_EWY_NEG_029901.CDF	Data transformation	20081009_NIH_EWY_NEG_029901	FILES/20081009_NIH_EWY_NEG_0299.mzML	Metabolite identification	20081009_NIH_EWY_NEG_029901	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_030801	Extraction		none	20081009_NIH_EWY_NEG_030801	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_030801	FILES/20081009_NIH_EWY_NEG_030801.CDF	Data transformation	20081009_NIH_EWY_NEG_030801	FILES/20081009_NIH_EWY_NEG_0308.mzML	Metabolite identification	20081009_NIH_EWY_NEG_030801	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_030901	Extraction		none	20081009_NIH_EWY_NEG_030901	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_030901	FILES/20081009_NIH_EWY_NEG_030901.CDF	Data transformation	20081009_NIH_EWY_NEG_030901	FILES/20081009_NIH_EWY_NEG_0309.mzML	Metabolite identification	20081009_NIH_EWY_NEG_030901	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_031001	Extraction		none	20081009_NIH_EWY_NEG_031001	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_031001	FILES/20081009_NIH_EWY_NEG_031001.CDF	Data transformation	20081009_NIH_EWY_NEG_031001	FILES/20081009_NIH_EWY_NEG_0310.mzML	Metabolite identification	20081009_NIH_EWY_NEG_031001	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_031101	Extraction		none	20081009_NIH_EWY_NEG_031101	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_031101	FILES/20081009_NIH_EWY_NEG_031101.CDF	Data transformation	20081009_NIH_EWY_NEG_031101	FILES/20081009_NIH_EWY_NEG_0311.mzML	Metabolite identification	20081009_NIH_EWY_NEG_031101	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_031201	Extraction		none	20081009_NIH_EWY_NEG_031201	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_031201	FILES/20081009_NIH_EWY_NEG_031201.CDF	Data transformation	20081009_NIH_EWY_NEG_031201	FILES/20081009_NIH_EWY_NEG_0312.mzML	Metabolite identification	20081009_NIH_EWY_NEG_031201	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_031301	Extraction		none	20081009_NIH_EWY_NEG_031301	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_031301	FILES/20081009_NIH_EWY_NEG_031301.CDF	Data transformation	20081009_NIH_EWY_NEG_031301	FILES/20081009_NIH_EWY_NEG_0313.mzML	Metabolite identification	20081009_NIH_EWY_NEG_031301	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_031401	Extraction		none	20081009_NIH_EWY_NEG_031401	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_031401	FILES/20081009_NIH_EWY_NEG_031401.CDF	Data transformation	20081009_NIH_EWY_NEG_031401	FILES/20081009_NIH_EWY_NEG_0314.mzML	Metabolite identification	20081009_NIH_EWY_NEG_031401	m_MTBLS28_NEG_v2_maf.tsv
